"Dataset","Verdict","GRADE","Score","IAI","ESS","Bias_P","Sens","Spec","Narrative"
"AuditC_data","ROBUST","Moderate",78.4,0.973,0,"N/A",0.872,0.711,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 24.2%. Sparse Data Certainty: Moderate."
"Cochrane_CD007394","ROBUST","Moderate",79.6,0.993,0,"N/A",0.596,0.872,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 34.3%. Sparse Data Certainty: Moderate."
"Cochrane_CD007427","CONDITIONAL","Low",59.9,0.998,0,"N/A",0.599,0.733,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 19.9%. Sparse Data Certainty: Low."
"Cochrane_CD008054","ROBUST","Moderate",79.9,0.998,0,"N/A",0.853,0.505,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 16.1%. Sparse Data Certainty: Moderate."
"Cochrane_CD008081","CONDITIONAL","Low",57.3,0.955,0,"N/A",0.808,0.827,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 34.0%. Sparse Data Certainty: Low."
"Cochrane_CD008686","CONDITIONAL","Low",59.2,0.988,0,"N/A",0.383,0.829,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 19.4%. Sparse Data Certainty: Low."
"Cochrane_CD008760","ROBUST","Moderate",79.6,0.993,0,"N/A",0.809,0.867,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 40.4%. Sparse Data Certainty: Moderate."
"Cochrane_CD008782","CONDITIONAL","Low",59.1,0.985,0,"N/A",0.783,0.635,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 18.6%. Sparse Data Certainty: Low."
"Cochrane_CD008803","CONDITIONAL","Low",65,1,0,"0",0.611,0.887,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 37.6%. Sparse Data Certainty: Low."
"Cochrane_CD008892","CONDITIONAL","Low",59.8,0.997,0,"N/A",0.711,0.826,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 31.2%. Sparse Data Certainty: Low."
"Cochrane_CD009020","IMMUTABLE TRUTH","High",98.8,0.981,0,"N/A",0.875,0.871,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 43.3%. Sparse Data Certainty: High."
"Cochrane_CD009135","ROBUST","Moderate",79.6,0.993,0,"N/A",0.825,0.924,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 54.3%. Sparse Data Certainty: Moderate."
"Cochrane_CD009185","CONDITIONAL","Low",59.5,0.992,0,"N/A",0.762,0.538,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 15.5%. Sparse Data Certainty: Low."
"Cochrane_CD009323","ROBUST","Moderate",67.9,0.798,0,"N/A",0.59,0.995,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 99.1%. Sparse Data Certainty: Moderate."
"Cochrane_CD009372","ROBUST","Moderate",83.5,0.726,0,"N/A",0.952,0.979,"The test acts as a high-sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 87.5%. Sparse Data Certainty: Moderate."
"Cochrane_CD009519","ROBUST","Moderate",79.5,0.991,0,"N/A",0.735,0.87,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 38.7%. Sparse Data Certainty: Moderate."
"Cochrane_CD009551","CONDITIONAL","Low",59.3,0.988,0,"N/A",0.679,0.804,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 27.4%. Sparse Data Certainty: Low."
"Cochrane_CD009579","CONDITIONAL","Low",59.9,0.998,0,"N/A",0.655,0.828,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 29.7%. Sparse Data Certainty: Low."
"Cochrane_CD009591","ROBUST","Moderate",79.8,0.997,0,"N/A",0.778,0.955,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 65.7%. Sparse Data Certainty: Moderate."
"Cochrane_CD009593","IMMUTABLE TRUTH","High",99.9,0.999,0,"N/A",0.875,0.985,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 86.7%. Sparse Data Certainty: High."
"Cochrane_CD009647","CONDITIONAL","Low",59.9,0.999,0,"N/A",0.308,0.51,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 6.5%. Sparse Data Certainty: Low."
"Cochrane_CD009786","CONDITIONAL","Low",50,0.5,0,"N/A",0.664,0.95,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 58.5%. Low Power; Sparse Data Certainty: Low."
"Cochrane_CD009944","CONDITIONAL","Low",59.9,0.998,0,"N/A",0.841,0.775,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 29.3%. Sparse Data Certainty: Low."
"Cochrane_CD010023","ROBUST","Moderate",83.9,0.732,0,"N/A",0.871,0.894,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 49.6%. Sparse Data Certainty: Moderate."
"Cochrane_CD010079","FRAGILE","Very Low",44.6,0.993,0,"0.08",0.793,0.847,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 36.5%. Robust Certainty: Very Low."
"Cochrane_CD010173","IMMUTABLE TRUTH","High",98.2,0.969,0,"0.354",0.876,0.978,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 84.9%. Robust Certainty: High."
"Cochrane_CD010276","ROBUST","Moderate",79.5,0.991,0,"N/A",0.857,0.703,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 24.0%. Sparse Data Certainty: Moderate."
"Cochrane_CD010339","IMMUTABLE TRUTH","High",85.1,0.752,0,"N/A",0.853,0.976,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 83.8%. Sparse Data Certainty: High."
"Cochrane_CD010360","IMMUTABLE TRUTH","High",99.8,0.997,0,"N/A",0.922,0.948,"The test acts as a high-sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 66.1%. Sparse Data Certainty: High."
"Cochrane_CD010386","CONDITIONAL","Low",50.8,0.514,0,"N/A",0.91,0.589,"The test acts as a high-sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 19.9%. Low Power; Sparse Data Certainty: Low."
"Cochrane_CD010409","IMMUTABLE TRUTH","High",99.8,0.997,0,"N/A",0.921,0.999,"The test acts as a high-sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 99.9%. Sparse Data Certainty: High."
"Cochrane_CD010438","CONDITIONAL","Low",57.4,0.623,0,"N/A",0.932,0.836,"The test acts as a high-sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 37.5%. Few Studies; Sparse Data Certainty: Low."
"Cochrane_CD010502","ROBUST","Moderate",79.9,0.999,0,"N/A",0.849,0.963,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 71.9%. Sparse Data Certainty: Moderate."
"Cochrane_CD010542","ROBUST","Moderate",74.7,0.911,0,"N/A",0.891,0.769,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 29.9%. Sparse Data Certainty: Moderate."
"Cochrane_CD010632","FRAGILE","Very Low",41,0.683,0,"N/A",0.728,0.715,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 21.9%. Low Power; Sparse Data Certainty: Very Low."
"Cochrane_CD010633","CONDITIONAL","Low",61.3,0.355,0,"N/A",0.93,0.858,"The test acts as a high-sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 42.6%. Low Power; Few Studies; Sparse Data Certainty: Low."
"Cochrane_CD010653","CONDITIONAL","Low",59.5,0.991,0,"0.603",0.556,0.782,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 21.8%. Sparse Data Certainty: Low."
"Cochrane_CD010657","CONDITIONAL","Low",59.7,0.995,0,"N/A",0.63,0.626,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 15.5%. Sparse Data Certainty: Low."
"Cochrane_CD010705","ROBUST","Moderate",79.9,0.999,0,"N/A",0.803,0.98,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 81.8%. Sparse Data Certainty: Moderate."
"Cochrane_CD010771","IMMUTABLE TRUTH","High",96.6,0.943,0,"N/A",0.914,0.876,"The test acts as a high-sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 46.6%. Sparse Data Certainty: High."
"Cochrane_CD010772","ROBUST","Moderate",79.7,0.995,0,"N/A",0.891,0.7,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 24.7%. Sparse Data Certainty: Moderate."
"Cochrane_CD010775","ROBUST","Moderate",77,0.95,0,"N/A",0.965,0.533,"The test acts as a high-sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 18.6%. Sparse Data Certainty: Moderate."
"Cochrane_CD010783","CONDITIONAL","Low",58.3,0.971,0,"0.69",0.53,0.792,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 21.3%. Robust Certainty: Low."
"Cochrane_CD010860","IMMUTABLE TRUTH","High",94,0.9,0,"N/A",0.941,0.872,"The test acts as a high-sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 47.9%. Few Studies Certainty: High."
"Cochrane_CD010896","ROBUST","Moderate",69.4,0.823,0,"N/A",0.663,0.889,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 40.6%. Sparse Data Certainty: Moderate."
"Cochrane_CD011134","CONDITIONAL","Low",59.7,0.996,0,"0.441",0.71,0.843,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 33.4%. Sparse Data Certainty: Low."
"Cochrane_CD011145","CONDITIONAL","Low",59.9,0.998,0,"N/A",0.784,0.777,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 28.0%. Sparse Data Certainty: Low."
"Cochrane_CD011420","ROBUST","Moderate",79.8,0.997,0,"N/A",0.431,0.915,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 35.7%. Sparse Data Certainty: Moderate."
"Cochrane_CD011431","ROBUST","Moderate",79.8,0.997,0,"N/A",0.813,0.979,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 81.8%. Sparse Data Certainty: Moderate."
"Cochrane_CD011515","FRAGILE","Very Low",17.2,0.287,0,"N/A",0.802,0.816,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 30.3%. Low Power; Few Studies Certainty: Very Low."
"Cochrane_CD011548","ROBUST","Moderate",77.6,0.96,0,"N/A",0.652,0.922,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 45.4%. Sparse Data Certainty: Moderate."
"Cochrane_CD011549","IMMUTABLE TRUTH","High",98.9,0.981,0,"N/A",0.941,0.958,"The test acts as a high-sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 71.6%. Sparse Data Certainty: High."
"Cochrane_CD011975","ROBUST","Moderate",79.9,0.999,0,"N/A",0.565,0.912,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 41.6%. Sparse Data Certainty: Moderate."
"Cochrane_CD011984","ROBUST","Moderate",79.7,0.995,0,"N/A",0.48,0.948,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 50.4%. Sparse Data Certainty: Moderate."
"Cochrane_CD012019","FRAGILE","Very Low",26.5,0.692,0,"0.017",0.682,0.736,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 20.6%. Robust Certainty: Very Low."
"Cochrane_CD012165","CONDITIONAL","Low",48,0.8,0,"N/A",0.758,0.73,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 23.5%. Sparse Data Certainty: Low."
"Cochrane_CD012179","CONDITIONAL","Low",59.9,0.998,0,"N/A",0.639,0.742,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 21.5%. Sparse Data Certainty: Low."
"Cochrane_CD012281","ROBUST","Moderate",79.1,0.986,0,"N/A",0.76,0.892,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 44.5%. Sparse Data Certainty: Moderate."
"COVID_AntigenTests_Cochrane2021","ROBUST","Moderate",78.9,0.981,0,"0.327",0.798,0.976,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 80.5%. Robust Certainty: Moderate."
"CT_Colonography_Whiting2011","CONDITIONAL","Low",47,0.783,0,"0.945",0.83,0.846,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 37.9%. Robust Certainty: Low."
"DDimer_PE_Crawford2020","CONDITIONAL","Low",64,0.983,0,"0.006",0.952,0.793,"The test acts as a high-sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 33.3%. Robust Certainty: Low."
"Dementia_data","ROBUST","Moderate",79.3,0.988,0,"N/A",0.792,0.862,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 39.1%. Sparse Data Certainty: Moderate."
"Depression_Screening_Gilbody2008","ROBUST","Moderate",78.3,0.971,0,"0.752",0.837,0.863,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 41.1%. Robust Certainty: Moderate."
"DVT_Ultrasound_Goodacre2005","ROBUST","Moderate",83.5,0.975,0,"0.01",0.931,0.968,"The test acts as a high-sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 78.0%. Robust Certainty: Moderate."
"FENO_Asthma_Schneider2017","CONDITIONAL","Low",59.8,0.997,0,"N/A",0.578,0.751,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 20.4%. Sparse Data Certainty: Low."
"HSTroponin_MI_Body2014","CONDITIONAL","Low",63.6,0.976,0,"0.008",0.916,0.742,"The test acts as a high-sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 27.2%. Robust Certainty: Low."
"IAQ_data","IMMUTABLE TRUTH","High",98.9,0.981,0,"N/A",0.936,0.95,"The test acts as a high-sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 67.4%. Sparse Data Certainty: High."
"IQCODE_Dementia_MetaDTA","ROBUST","Moderate",78.3,0.971,0,"N/A",0.869,0.711,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 24.1%. Sparse Data Certainty: Moderate."
"MRI_Prostate_Futterer2015","FRAGILE","Very Low",43.5,0.975,0,"0",0.838,0.827,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 34.9%. Robust Certainty: Very Low."
"POCUS_Shock_Yoshida2023","ROBUST","Moderate",75.4,0.84,0,"0.001",0.95,0.945,"The test acts as a high-sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 65.3%. Robust Certainty: Moderate."
"Procalcitonin_Sepsis_Wacker2013","CONDITIONAL","Low",58.7,0.979,0,"0.155",0.826,0.765,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 27.5%. Robust Certainty: Low."
"SAQ_data","IMMUTABLE TRUTH","High",99.2,0.988,0,"N/A",0.878,0.908,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 50.9%. Sparse Data Certainty: High."
"SkinTests_data","ROBUST","Moderate",77.8,0.964,0,"0.402",0.275,0.955,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 35.5%. Robust Certainty: Moderate."
"Smoking_data","IMMUTABLE TRUTH","High",99.5,0.992,0,"N/A",0.919,0.931,"The test acts as a high-sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 59.4%. Sparse Data Certainty: High."
"TB_SmearMicroscopy_Steingart2006","CONDITIONAL","Low",63.9,0.981,0,"0.002",0.756,0.981,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 84.4%. Robust Certainty: Low."
"XpertMTB_RIF_Tuberculosis2014","CONDITIONAL","Low",63.7,0.978,0,"0.007",0.846,0.975,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 80.9%. Robust Certainty: Low."
