"Dataset","Verdict","GRADE","Pathway","Sens","Spec","Averaged"
"AuditC_data","ROBUST","Low","Adjunct Only",0.856,0.79,FALSE
"Cochrane_CD007394","ROBUST","Low","Adjunct Only",0.65,0.879,FALSE
"Cochrane_CD007427","CONDITIONAL","Low","Adjunct Only",0.582,0.751,FALSE
"Cochrane_CD008054","ROBUST","Low","Adjunct Only",0.837,0.565,FALSE
"Cochrane_CD008081","ROBUST","Low","Adjunct Only",0.799,0.846,FALSE
"Cochrane_CD008686","CONDITIONAL","Low","Adjunct Only",0.408,0.883,FALSE
"Cochrane_CD008760","ROBUST","Low","Adjunct Only",0.785,0.804,FALSE
"Cochrane_CD008782","ROBUST","Low","Adjunct Only",0.741,0.652,FALSE
"Cochrane_CD008803","ROBUST","Low","Adjunct Only",0.624,0.885,FALSE
"Cochrane_CD008892","ROBUST","Low","Adjunct Only",0.745,0.823,FALSE
"Cochrane_CD009020","ROBUST","Low","Adjunct Only",0.847,0.848,FALSE
"Cochrane_CD009135","ROBUST","Low","Stand-alone Diagnostic",0.86,0.905,FALSE
"Cochrane_CD009185","ROBUST","Low","Adjunct Only",0.823,0.573,FALSE
"Cochrane_CD009323","ROBUST","Low","Confirmation (Rule-In)",0.633,0.978,FALSE
"Cochrane_CD009372","ROBUST","Low","Confirmation (Rule-In)",0.927,0.967,FALSE
"Cochrane_CD009519","ROBUST","Low","Adjunct Only",0.719,0.858,FALSE
"Cochrane_CD009551","ROBUST","Low","Adjunct Only",0.698,0.837,FALSE
"Cochrane_CD009579","ROBUST","Low","Adjunct Only",0.712,0.81,FALSE
"Cochrane_CD009591","ROBUST","Low","Adjunct Only",0.81,0.929,FALSE
"Cochrane_CD009593","ROBUST","Low","Confirmation (Rule-In)",0.861,0.978,FALSE
"Cochrane_CD009647","CONDITIONAL","Low","Adjunct Only",0.298,0.698,FALSE
"Cochrane_CD009786","CONDITIONAL","Low","Adjunct Only",0.662,0.946,FALSE
"Cochrane_CD009944","ROBUST","Low","Adjunct Only",0.819,0.796,FALSE
"Cochrane_CD010023","CONDITIONAL","Low","Adjunct Only",0.818,0.935,FALSE
"Cochrane_CD010079","ROBUST","Low","Adjunct Only",0.782,0.835,FALSE
"Cochrane_CD010173","ROBUST","Low","Confirmation (Rule-In)",0.775,0.969,FALSE
"Cochrane_CD010276","ROBUST","Low","Adjunct Only",0.843,0.74,FALSE
"Cochrane_CD010339","ROBUST","Low","Confirmation (Rule-In)",0.836,0.965,FALSE
"Cochrane_CD010360","ROBUST","Low","Stand-alone Diagnostic",0.922,0.944,FALSE
"Cochrane_CD010386","CONDITIONAL","Low","Adjunct Only",0.846,0.619,FALSE
"Cochrane_CD010409","ROBUST","Low","Confirmation (Rule-In)",0.879,0.981,FALSE
"Cochrane_CD010438","CONDITIONAL","Low","Adjunct Only",0.921,0.815,FALSE
"Cochrane_CD010502","ROBUST","Low","Adjunct Only",0.843,0.949,FALSE
"Cochrane_CD010542","ROBUST","Low","Adjunct Only",0.868,0.744,FALSE
"Cochrane_CD010632","CONDITIONAL","Low","Adjunct Only",0.714,0.719,FALSE
"Cochrane_CD010633","CONDITIONAL","Low","Adjunct Only",0.823,0.829,FALSE
"Cochrane_CD010653","ROBUST","Low","Adjunct Only",0.582,0.811,FALSE
"Cochrane_CD010657","CONDITIONAL","Low","Adjunct Only",0.642,0.62,FALSE
"Cochrane_CD010705","ROBUST","Low","Confirmation (Rule-In)",0.814,0.97,FALSE
"Cochrane_CD010771","ROBUST","Low","Adjunct Only",0.829,0.915,FALSE
"Cochrane_CD010772","ROBUST","Low","Adjunct Only",0.889,0.677,FALSE
"Cochrane_CD010775","ROBUST","Low","Adjunct Only",0.946,0.647,FALSE
"Cochrane_CD010783","CONDITIONAL","Low","Adjunct Only",0.571,0.78,FALSE
"Cochrane_CD010860","ROBUST","Low","Triage (Rule-Out)",0.957,0.87,FALSE
"Cochrane_CD010896","CONDITIONAL","Low","Adjunct Only",0.689,0.869,FALSE
"Cochrane_CD011134","ROBUST","Low","Adjunct Only",0.709,0.878,FALSE
"Cochrane_CD011145","ROBUST","Low","Adjunct Only",0.795,0.808,FALSE
"Cochrane_CD011420","ROBUST","Low","Adjunct Only",0.426,0.918,FALSE
"Cochrane_CD011431","ROBUST","Low","Confirmation (Rule-In)",0.799,0.981,FALSE
"Cochrane_CD011515","CONDITIONAL","Low","Adjunct Only",0.795,0.803,FALSE
"Cochrane_CD011548","ROBUST","Low","Adjunct Only",0.675,0.92,FALSE
"Cochrane_CD011549","ROBUST","Low","Stand-alone Diagnostic",0.921,0.949,FALSE
"Cochrane_CD011975","ROBUST","Low","Adjunct Only",0.572,0.935,FALSE
"Cochrane_CD011984","ROBUST","Low","Confirmation (Rule-In)",0.554,0.95,FALSE
"Cochrane_CD012019","CONDITIONAL","Low","Adjunct Only",0.709,0.732,FALSE
"Cochrane_CD012165","CONDITIONAL","Low","Adjunct Only",0.774,0.719,FALSE
"Cochrane_CD012179","ROBUST","Low","Adjunct Only",0.649,0.767,FALSE
"Cochrane_CD012281","ROBUST","Low","Adjunct Only",0.775,0.892,FALSE
"COVID_AntigenTests_Cochrane2021","ROBUST","Low","Confirmation (Rule-In)",0.794,0.973,FALSE
"CT_Colonography_Whiting2011","CONDITIONAL","Low","Adjunct Only",0.82,0.843,FALSE
"DDimer_PE_Crawford2020","ROBUST","Low","Adjunct Only",0.947,0.793,FALSE
"Dementia_data","ROBUST","Low","Adjunct Only",0.783,0.874,FALSE
"Depression_Screening_Gilbody2008","ROBUST","Low","Adjunct Only",0.831,0.861,FALSE
"DVT_Ultrasound_Goodacre2005","ROBUST","Low","Confirmation (Rule-In)",0.923,0.966,FALSE
"FENO_Asthma_Schneider2017","ROBUST","Low","Adjunct Only",0.604,0.769,FALSE
"HSTroponin_MI_Body2014","ROBUST","Low","Adjunct Only",0.912,0.742,FALSE
"IAQ_data","ROBUST","Low","Stand-alone Diagnostic",0.949,0.924,FALSE
"IQCODE_Dementia_MetaDTA","ROBUST","Low","Adjunct Only",0.871,0.684,FALSE
"MRI_Prostate_Futterer2015","ROBUST","Low","Adjunct Only",0.832,0.823,FALSE
"POCUS_Shock_Yoshida2023","ROBUST","Low","Stand-alone Diagnostic",0.943,0.938,FALSE
"Procalcitonin_Sepsis_Wacker2013","ROBUST","Low","Adjunct Only",0.822,0.763,FALSE
"SAQ_data","ROBUST","Low","Stand-alone Diagnostic",0.874,0.913,FALSE
"SkinTests_data","CONDITIONAL","Low","Confirmation (Rule-In)",0.359,0.964,FALSE
"Smoking_data","ROBUST","Low","Stand-alone Diagnostic",0.917,0.917,FALSE
"TB_SmearMicroscopy_Steingart2006","ROBUST","Low","Confirmation (Rule-In)",0.751,0.979,FALSE
"XpertMTB_RIF_Tuberculosis2014","ROBUST","Low","Confirmation (Rule-In)",0.842,0.973,FALSE
