"Dataset","Verdict","NND","Bias_Delta_Sens","Bias_Flag","Action","Sens","Spec"
"AuditC_data","ROBUST",1.5,0,"None","ROBUST",0.856,0.79
"Cochrane_CD007394","ROBUST",1.9,0,"None","ROBUST",0.65,0.879
"Cochrane_CD007427","CONDITIONAL",3,0,"None","RESEARCH PRIORITY",0.582,0.751
"Cochrane_CD008054","ROBUST",2.5,0,"None","ROBUST",0.837,0.565
"Cochrane_CD008081","ROBUST",1.6,0,"None","ROBUST",0.799,0.846
"Cochrane_CD008686","CONDITIONAL",3.4,0,"None","RESEARCH PRIORITY",0.408,0.883
"Cochrane_CD008760","ROBUST",1.7,0,"None","ROBUST",0.785,0.804
"Cochrane_CD008782","ROBUST",2.5,0,"None","ROBUST",0.741,0.652
"Cochrane_CD008892","ROBUST",1.8,0,"None","ROBUST",0.745,0.823
"Cochrane_CD009020","ROBUST",1.4,0,"None","ROBUST",0.847,0.848
"Cochrane_CD009135","ROBUST",1.3,0,"None","ROBUST",0.86,0.905
"Cochrane_CD009185","ROBUST",2.5,0,"None","ROBUST",0.823,0.573
"Cochrane_CD009323","ROBUST",1.6,0,"None","ROBUST",0.633,0.978
"Cochrane_CD009372","ROBUST",1.1,0,"None","ROBUST",0.927,0.967
"Cochrane_CD009519","ROBUST",1.7,0,"None","ROBUST",0.719,0.858
"Cochrane_CD009551","ROBUST",1.9,0,"None","ROBUST",0.698,0.837
"Cochrane_CD009579","ROBUST",1.9,0,"None","ROBUST",0.712,0.81
"Cochrane_CD009591","ROBUST",1.4,0,"None","ROBUST",0.81,0.929
"Cochrane_CD009593","ROBUST",1.2,0,"None","ROBUST",0.861,0.978
"Cochrane_CD009647","CONDITIONAL",Inf,0,"None","RESEARCH PRIORITY",0.298,0.698
"Cochrane_CD009786","CONDITIONAL",1.6,0,"None","RESEARCH PRIORITY",0.662,0.946
"Cochrane_CD009944","ROBUST",1.6,0,"None","ROBUST",0.819,0.796
"Cochrane_CD010023","CONDITIONAL",1.3,0,"None","RESEARCH PRIORITY",0.818,0.935
"Cochrane_CD010173","ROBUST",1.3,0,"None","ROBUST",0.775,0.969
"Cochrane_CD010276","ROBUST",1.7,0,"None","ROBUST",0.843,0.74
"Cochrane_CD010339","ROBUST",1.2,0,"None","ROBUST",0.836,0.965
"Cochrane_CD010360","ROBUST",1.2,0,"None","ROBUST",0.922,0.944
"Cochrane_CD010386","CONDITIONAL",2.2,0,"None","RESEARCH PRIORITY",0.846,0.619
"Cochrane_CD010409","ROBUST",1.2,0,"None","ROBUST",0.879,0.981
"Cochrane_CD010438","CONDITIONAL",1.4,0,"None","RESEARCH PRIORITY",0.921,0.815
"Cochrane_CD010502","ROBUST",1.3,0,"None","ROBUST",0.843,0.949
"Cochrane_CD010542","ROBUST",1.6,0,"None","ROBUST",0.868,0.744
"Cochrane_CD010632","CONDITIONAL",2.3,0,"None","RESEARCH PRIORITY",0.714,0.719
"Cochrane_CD010633","CONDITIONAL",1.5,0,"None","RESEARCH PRIORITY",0.823,0.829
"Cochrane_CD010653","ROBUST",2.5,0,"None","ROBUST",0.582,0.811
"Cochrane_CD010657","CONDITIONAL",3.8,0,"None","RESEARCH PRIORITY",0.642,0.62
"Cochrane_CD010705","ROBUST",1.3,0,"None","ROBUST",0.814,0.97
"Cochrane_CD010771","ROBUST",1.3,0,"None","ROBUST",0.829,0.915
"Cochrane_CD010772","ROBUST",1.8,0,"None","ROBUST",0.889,0.677
"Cochrane_CD010775","ROBUST",1.7,0,"None","ROBUST",0.946,0.647
"Cochrane_CD010783","CONDITIONAL",2.9,0,"None","RESEARCH PRIORITY",0.571,0.78
"Cochrane_CD010860","ROBUST",1.2,0,"None","ROBUST",0.957,0.87
"Cochrane_CD010896","CONDITIONAL",1.8,0,"None","RESEARCH PRIORITY",0.689,0.869
"Cochrane_CD011134","ROBUST",1.7,0,"None","ROBUST",0.709,0.878
"Cochrane_CD011145","ROBUST",1.7,0,"None","ROBUST",0.795,0.808
"Cochrane_CD011420","ROBUST",2.9,0,"None","ROBUST",0.426,0.918
"Cochrane_CD011431","ROBUST",1.3,0,"None","ROBUST",0.799,0.981
"Cochrane_CD011515","CONDITIONAL",1.7,0,"None","RESEARCH PRIORITY",0.795,0.803
"Cochrane_CD011548","ROBUST",1.7,0,"None","ROBUST",0.675,0.92
"Cochrane_CD011549","ROBUST",1.2,0,"None","ROBUST",0.921,0.949
"Cochrane_CD011975","ROBUST",2,0,"None","ROBUST",0.572,0.935
"Cochrane_CD011984","ROBUST",2,0,"None","ROBUST",0.554,0.95
"Cochrane_CD012165","CONDITIONAL",2,0,"None","RESEARCH PRIORITY",0.774,0.719
"Cochrane_CD012179","ROBUST",2.4,0,"None","ROBUST",0.649,0.767
"Cochrane_CD012281","ROBUST",1.5,0,"None","ROBUST",0.775,0.892
"COVID_AntigenTests_Cochrane2021","ROBUST",1.3,0,"None","ROBUST",0.794,0.973
"CT_Colonography_Whiting2011","CONDITIONAL",1.5,0,"None","RESEARCH PRIORITY",0.82,0.843
"Dementia_data","ROBUST",1.5,0,"None","ROBUST",0.783,0.874
"Depression_Screening_Gilbody2008","ROBUST",1.4,0,"None","ROBUST",0.831,0.861
"FENO_Asthma_Schneider2017","ROBUST",2.7,0,"None","ROBUST",0.604,0.769
"IAQ_data","ROBUST",1.1,0,"None","ROBUST",0.949,0.924
"IQCODE_Dementia_MetaDTA","ROBUST",1.8,0,"None","ROBUST",0.871,0.684
"Procalcitonin_Sepsis_Wacker2013","ROBUST",1.7,0,"None","ROBUST",0.822,0.763
"SAQ_data","ROBUST",1.3,0,"None","ROBUST",0.874,0.913
"SkinTests_data","CONDITIONAL",3.1,0,"None","RESEARCH PRIORITY",0.359,0.964
"Smoking_data","ROBUST",1.2,0,"None","ROBUST",0.917,0.917
